OAR,LBAR,RBAR,NUAR,NDAR,LEAR,REAR,OLAR,ILAR,TAG
0.1471,0.3811,0.3936,1.3579,1.9634,0.2929,0.3038,0.1471,0.1221,1
0.1434,0.4042,0.4172,1.405,2.0058,0.2782,0.3083,0.1434,0.182,1
0.1434,0.4026,0.4216,1.4228,1.9784,0.2727,0.2847,0.1434,0.1739,1
0.1431,0.3993,0.4167,1.4121,1.978,0.256,0.2854,0.1431,0.1706,1
0.1419,0.4098,0.4198,1.4216,1.9614,0.2613,0.2611,0.1419,0.1797,1
0.1418,0.4077,0.4272,1.3947,1.9813,0.2671,0.2551,0.1418,0.1946,1
0.1415,0.4179,0.437,1.4329,1.9588,0.273,0.2736,0.1415,0.2005,1
0.1431,0.4141,0.433,1.4291,1.9898,0.2731,0.2736,0.1431,0.1944,1
0.1414,0.4105,0.4356,1.443,1.9806,0.2679,0.256,0.1414,0.1432,1
0.1422,0.4118,0.4244,1.4117,1.978,0.2674,0.2611,0.1422,0.1744,1
0.1422,0.4103,0.4164,1.4053,1.9711,0.2447,0.2674,0.1422,0.1559,1
0.1431,0.4069,0.4168,1.3524,1.9723,0.2441,0.2618,0.1431,0.1707,1
0.1411,0.4028,0.4242,1.4085,1.9765,0.2391,0.2674,0.1411,0.1741,1
0.1405,0.4031,0.4196,1.4261,1.9655,0.2629,0.2797,0.1405,0.1299,1
0.1436,0.4021,0.4199,1.3818,1.9918,0.2616,0.2738,0.1436,0.1837,1
0.1419,0.4044,0.4218,1.4531,1.9725,0.2391,0.2681,0.1419,0.1353,1
0.1402,0.4098,0.4198,1.4123,1.9813,0.2674,0.291,0.1402,0.1253,1
0.1394,0.4025,0.4175,1.4096,1.9817,0.2618,0.2736,0.1394,0.1349,1
0.1391,0.4048,0.4236,1.4192,1.9839,0.2618,0.2862,0.1391,0.1344,1
0.1402,0.3942,0.4167,1.401,1.9902,0.2676,0.2698,0.1402,0.1506,1
0.141,0.4055,0.4281,1.3996,1.9683,0.284,0.2915,0.141,0.1402,1
0.1415,0.3936,0.4121,1.4089,1.9678,0.2674,0.2923,0.1415,0.1091,1
0.1415,0.3938,0.4175,1.394,1.943,0.2895,0.3096,0.1415,0.1725,1
0.1391,0.3846,0.4152,1.425,1.99,0.2997,0.3209,0.1391,0.1266,1
0.1429,0.3819,0.4058,1.445,1.9562,0.2842,0.3083,0.1429,0.1277,1
0.138,0.3775,0.4186,1.4574,1.9533,0.3223,0.3318,0.138,0.1365,1
0.1411,0.3863,0.418,1.4461,1.997,0.2887,0.313,0.1411,0.1061,1
0.1426,0.3859,0.4163,1.4504,1.9483,0.3438,0.3474,0.1426,0.1312,1
0.1424,0.4113,0.4448,1.4169,1.9761,0.3112,0.3438,0.1424,0.153,1
0.1427,0.4192,0.4525,1.3755,1.9643,0.3045,0.3245,0.1427,0.2137,1
0.1406,0.4181,0.4496,1.4372,1.9725,0.3108,0.3359,0.1406,0.1384,1
